mi,sigma,best_ind,avg_ind,fitness_calls,total_time
1,0.2,0.5,0.5,6,108.844
2,0.2,0.5,0.5,5,85.567
3,0.2,0.5,0.5,7,86.811
4,0.2,0.5,0.5,5,84.489
5,0.2,0.5,0.5,8,91.591
10,0.2,0.5,0.5,4,90.284
20,0.2,0.5,0.5,8,98.848
100,0.2,0.5,0.5,7,105.719
200,0.2,0.5,0.5,7,107.344
300,0.2,0.5,0.5,8,108.229
1,0.25,0.606,0.606,39,106.549
2,0.25,0.612,0.612,41,106.612
3,0.25,0.631,0.631,43,108.553
4,0.25,0.624,0.624,100,110.695
5,0.25,0.6,0.371,2,82.225
10,0.25,0.584,0.307,2,99.07
20,0.25,0.542,0.232,1,106.001
100,0.25,0.542,0.232,1,116.106
200,0.25,0.542,0.232,1,111.911
300,0.25,0.542,0.232,1,111.811
1,0.3,0.614,0.614,40,106.776
2,0.3,0.611,0.611,38,108.595
3,0.3,0.622,0.593,100,112.811
4,0.3,0.598,0.598,100,73.321
5,0.3,0.532,0.23,1,96.904
10,0.3,0.532,0.23,1,106.201
20,0.3,0.532,0.23,1,102.265
100,0.3,0.532,0.23,1,108.157
200,0.3,0.532,0.23,1,145.283
300,0.3,0.532,0.23,1,107.061
1,0.35,0.592,0.592,38,62.615
2,0.35,0.594,0.594,39,61.256
3,0.35,0.601,0.601,82,62.652
4,0.35,0.607,0.607,100,61.587
5,0.35,0.614,0.614,100,62.934
10,0.35,0.546,0.231,1,86.381
20,0.35,0.546,0.231,1,108.302
100,0.35,0.546,0.231,1,106.11
200,0.35,0.546,0.231,1,103.94
300,0.35,0.546,0.231,1,101.512
1,0.5,0.584,0.584,36,82.054
2,0.5,0.617,0.617,42,113.593
3,0.5,0.63,0.619,12,114.006
4,0.5,0.606,0.565,100,121.665
5,0.5,0.594,0.557,4,102.242
10,0.5,0.508,0.222,1,80.223
20,0.5,0.508,0.222,1,89.767
100,0.5,0.508,0.222,1,92.042
200,0.5,0.508,0.222,1,95.987
300,0.5,0.508,0.222,1,96.003
1,0.55,0.585,0.585,40,118.305
2,0.55,0.593,0.593,37,132.9
3,0.55,0.617,0.566,100,113.23
4,0.55,0.604,0.563,100,126.186
5,0.55,0.61,0.604,96,117.304
10,0.55,0.507,0.226,1,96.489
20,0.55,0.507,0.226,1,113.168
100,0.55,0.507,0.226,1,99.507
200,0.55,0.507,0.226,1,99.212
300,0.55,0.507,0.226,1,99.553
1,0.6,0.578,0.578,39,69.962
2,0.6,0.593,0.593,100,130.883
3,0.6,0.596,0.596,91,70.199
4,0.6,0.601,0.601,100,71.67
5,0.6,0.626,0.57,100,109.497
10,0.6,0.632,0.579,100,108.523
20,0.6,0.506,0.213,1,92.91
100,0.6,0.506,0.213,1,103.956
200,0.6,0.506,0.213,1,102.13
300,0.6,0.506,0.213,1,101.58
1,0.65,0.5,0.5,4,93.501
2,0.65,0.5,0.5,6,109.204
3,0.65,0.584,0.584,100,73.315
4,0.65,0.557,0.399,3,91.127
5,0.65,0.54,0.221,2,112.145
10,0.65,0.5,0.5,8,89.201
20,0.65,0.5,0.5,6,106.437
100,0.65,0.5,0.5,6,105.799
200,0.65,0.5,0.5,8,101.754
300,0.65,0.5,0.5,6,108.454
1,0.7,0.58,0.58,37,101.344
2,0.7,0.605,0.605,95,69.982
3,0.7,0.611,0.611,100,70.945
4,0.7,0.615,0.615,100,68.887
5,0.7,0.532,0.258,2,104.32
10,0.7,0.5,0.5,6,92.897
20,0.7,0.5,0.5,7,130.919
100,0.7,0.5,0.5,9,114.844
200,0.7,0.5,0.5,7,111.99
300,0.7,0.5,0.5,7,109.14
1,0.75,0.5,0.5,7,60.215
2,0.75,0.5,0.5,6,95.788
3,0.75,0.5,0.5,5,115.938
4,0.75,0.5,0.5,5,104.403
5,0.75,0.5,0.5,5,93.751
10,0.75,0.5,0.5,4,85.613
20,0.75,0.5,0.5,6,105.211
100,0.75,0.5,0.5,7,111.615
200,0.75,0.5,0.5,6,111.216
300,0.75,0.5,0.5,6,112.137
